Date,SONIA
08/30/2017,0.002133
08/29/2017,0.002142
08/25/2017,0.002159
08/24/2017,0.00211
08/23/2017,0.00212
08/22/2017,0.002116
08/21/2017,0.002115
08/18/2017,0.002123
08/17/2017,0.002156
08/16/2017,0.002137
08/15/2017,0.00213
08/14/2017,0.002123
08/11/2017,0.002133
08/10/2017,0.002126
08/09/2017,0.002148
08/08/2017,0.002159
08/07/2017,0.002125
08/04/2017,0.002129
08/03/2017,0.002143
08/02/2017,0.002143
08/01/2017,0.002115
07/31/2017,0.002034
07/28/2017,0.00212
07/27/2017,0.002115
07/26/2017,0.002121
07/25/2017,0.002119
07/24/2017,0.002123
07/21/2017,0.002142
07/20/2017,0.002119
07/19/2017,0.002103
07/18/2017,0.002117
07/17/2017,0.002134
07/14/2017,0.002144
07/13/2017,0.002145
07/12/2017,0.002148
07/11/2017,0.002142
07/10/2017,0.002124
07/07/2017,0.002143
07/06/2017,0.002129
07/05/2017,0.00212
07/04/2017,0.002118
07/03/2017,0.002137
06/30/2017,0.00194
06/29/2017,0.002129
06/28/2017,0.002116
06/27/2017,0.002139
06/26/2017,0.002131
06/23/2017,0.002157
06/22/2017,0.002147
06/21/2017,0.002149
06/20/2017,0.002173
06/19/2017,0.00213
06/16/2017,0.002124
06/15/2017,0.002123
06/14/2017,0.002123
06/13/2017,0.002122
06/12/2017,0.002108
06/09/2017,0.002116
06/08/2017,0.002118
06/07/2017,0.002114
06/06/2017,0.002122
06/05/2017,0.002114
06/02/2017,0.00213
06/01/2017,0.002131
05/31/2017,0.002087
05/30/2017,0.002119
05/26/2017,0.00213
05/25/2017,0.002122
05/24/2017,0.002106
05/23/2017,0.002112
05/22/2017,0.002114
05/19/2017,0.002137
05/18/2017,0.002133
05/17/2017,0.002147
05/16/2017,0.002142
05/15/2017,0.002137
05/12/2017,0.002146
05/11/2017,0.002131
05/10/2017,0.002155
05/09/2017,0.002142
05/08/2017,0.002136
05/05/2017,0.002136
05/04/2017,0.002106
05/03/2017,0.002104
05/02/2017,0.002111
04/28/2017,0.002108
04/27/2017,0.002111
04/26/2017,0.002127
04/25/2017,0.002122
04/24/2017,0.002118
04/21/2017,0.002121
04/20/2017,0.002124
04/19/2017,0.002117
04/18/2017,0.002112
04/13/2017,0.002122
04/12/2017,0.002101
04/11/2017,0.002112
04/10/2017,0.002116
04/07/2017,0.002108
04/06/2017,0.00211
04/05/2017,0.002095
04/04/2017,0.002112
04/03/2017,0.002107
03/31/2017,0.00174
03/30/2017,0.002136
03/29/2017,0.002116
03/28/2017,0.0021
03/27/2017,0.002092
03/24/2017,0.002127
03/23/2017,0.002126
03/22/2017,0.002104
